Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.022739/2024-46,5918340,Atualização do parque computacional IFILO - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5918340,1
23117.023617/2026-39,8015734,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8015734,1
23117.024026/2024-17,5934196,Atualização do parque computacional IBTEC - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5934196,1
23117.024727/2024-56,5941810,Atualização do parque computacional FACED - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5941810,1
23117.024858/2026-03,8031871,(Não Visualizado) Solicitação de baixa e recolhimento Bens em desuso,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8031871,1
23117.024929/2026-60,8032803,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8032803,1
23117.025161/2026-41,8035319,(Não Visualizado) Recolimento de material em desuso,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8035319,1
23117.025633/2024-02,5951687,(Não Visualizado) Solicita recolhimento de equipamentos em desuso ao Depósito,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5951687,1
23117.025714/2026-66,8045150,(Não Visualizado) Coleta de bens em desuso / Solicitação de baixa de bens,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8045150,1
23117.025807/2023-48,4937792,(Não Visualizado) Solicitação de providências cabíveis para regularização e baixa de bem patrimonial.,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4937792,1
23117.026096/2024-18,5957978,(Não Visualizado) Recolhimento de bens materiais,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5957978,1
23117.026368/2024-71,5960999,COLETA ESTES 4K,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5960999,1
23117.026565/2024-91,5963814,COLETA HOVET 2S,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5963814,1
23117.026632/2026-39,8055241,(Não Visualizado) Baixa e recolhimento,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8055241,1
23117.026755/2026-70,8056497,RECOLHIMENTO MATERIAIS,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8056497,1
23117.027130/2024-63,5970111,Coleta,Material: Recolhimento de Material ao Depósito,cpetrag,Campus Umuarama,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5970111,1
23117.027359/2023-17,4956474,Baixa de equipamentos - SM - FEELT - ?,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4956474,1
23117.027363/2023-85,4956508,(Não Visualizado) COLETA ICBIM 2B,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4956508,1
